term_id,canonical_term,category,confidence,variant,protected,evidence,occurrence_ids_json,run_id
term_5f7e6cf5264e9854d4ea,Causes of death,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_9747d95b7be6e7fc7ddb""]",run_5f8127cf8e6be829b1ac
term_962076671ba1710ec9cd,Causes of death - potential years of life lost by country of residence,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_b66cddb066527ed1af7b""]",run_5f8127cf8e6be829b1ac
term_3456ee1ef3a4b5d3e160,"Causes of death, by sex",measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_2a6383bffb6dee3b9f42""]",run_5f8127cf8e6be829b1ac
term_21acbc3991aad168be3f,"Cereals for the production of grain (including seed) by area, production and humidity",measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_f49ff15384280ce512c2""]",run_5f8127cf8e6be829b1ac
term_bddb535218bdd2ecee0c,Children cared only by their parents by age group - % over the population of each age group,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_c47fdac72346294409eb""]",run_5f8127cf8e6be829b1ac
term_8fa5a4c35cfb38394961,"Classroom teachers working full-time and part-time in primary, lower-secondary and upper-secondary education - as % of total active population",measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_0435b7fd2c7a4c048e36""]",run_5f8127cf8e6be829b1ac
term_1d490b3690f8a6d9f521,constant prices,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_3c472b75f91a8dd949f0""]",run_5f8127cf8e6be829b1ac
term_eacb2216fe4997adf92e,Consumer price index,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_0ade844f855e2cc7e3ec"", ""occ_e4ce685771592bd1b6f2""]",run_5f8127cf8e6be829b1ac
term_5574a85a609e8966b428,Consumer price index - ENP-East countries,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_428205c5457712de4396""]",run_5f8127cf8e6be829b1ac
term_a1ec4c2cbf84309933ed,Consumer price index - ENP-South countries,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_e339d94f53fb9a24dc38""]",run_5f8127cf8e6be829b1ac
term_6150cd2caa8f4a04c46e,Container transport by type of goods and coverage,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_6c3a3321244aa616c325""]",run_5f8127cf8e6be829b1ac
term_027275b4917a775d06d1,Country level - gross weight of goods transported to/from main ports,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_3fef920e4b4c6091f442""]",run_5f8127cf8e6be829b1ac
term_ac49c8d4bf9ebe2ab58f,Crimes recorded by the police - homicide in cities,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_d97d5f85c313a5a77fdf""]",run_5f8127cf8e6be829b1ac
term_112b7bcba889c2543790,Crop output - basic and producer prices,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_8daac879fbe24cfd64cc""]",run_5f8127cf8e6be829b1ac
term_484236517c42f3ecd18f,Crop production - ENP-East countries,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_9d378f86402735c71fcc""]",run_5f8127cf8e6be829b1ac
term_e9ef238b028627dd77c4,Crop production - ENP-South countries,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_9731dcadaf142d5e4512""]",run_5f8127cf8e6be829b1ac
term_99e1529e4e89f9c36b6e,"Crude rate of birth, of dead and of population change",measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_8593896ef881b89db663""]",run_5f8127cf8e6be829b1ac
term_0aaad1fb739644538df7,"Crude rate of birth, of dead and of population change - ENP-South countries",measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_ed153bd4f799f587999e""]",run_5f8127cf8e6be829b1ac
term_1e90b7c1d9857b0b43e2,Cultural employment by sex,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_0c7c251f816d02679ea2""]",run_5f8127cf8e6be829b1ac
term_c46d3ef2aa9824c586e8,"Current account transactions - primary income: credits, debits and balance",measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_5588605db54edf25987f""]",run_5f8127cf8e6be829b1ac
term_f216ac3c2bf81bef68a4,"Current account transactions - secondary income: credits, debits and balance",measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_bff04f617679b0e49615""]",run_5f8127cf8e6be829b1ac
term_06805613d2075f44c3ed,current prices,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_2a3fe43b920fdff5ecb0"", ""occ_3090d7266ac99bd3d4a9"", ""occ_3be4faafa9076c7ff322"", ""occ_5993b0ce993d55a104c5"", ""occ_62fba27a7e6167c42393"", ""occ_77b49f474a004c115639"", ""occ_7c36156788399e0bd8eb"", ""occ_86a62e7415bb9659e067"", ""occ_cf74dedde48d8af3db19"", ""occ_df30f81d1c867fc257cf"", ""occ_e16e97686400b64d86e8"", ""occ_fdfbc2e693f8c16d8072""]",run_5f8127cf8e6be829b1ac
term_101e60ee5f0f430737e5,"Death due to accidents, by sex",measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_4e8ae24d7d6afd53d294""]",run_5f8127cf8e6be829b1ac
term_956ee1e95cb224363643,"Death due to AIDS (HIV-disease), by sex",measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_2fa48a96c06a0148bca6""]",run_5f8127cf8e6be829b1ac
term_76957f17efd94e0cea36,"Death due to alcoholic abuse, by sex",measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_a0293f94f3977adf46e1""]",run_5f8127cf8e6be829b1ac
