term_id,canonical_term,category,confidence,variant,protected,evidence,occurrence_ids_json,run_id
term_51748219fa8bcd262409,Top 5 ports for volume of containers,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_090ba27216fbf98666c8""]",run_cf189fe93ed005701355
term_63db29122ca2d646036d,Top 5 ports for volume of containers - volume (in TEUs) of containers handled in each port,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_0b0663cd473b5bff95ff""]",run_cf189fe93ed005701355
term_cbdda9299342ad151410,total (excluding construction),measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_73ce06b1720744de23f5""]",run_cf189fe93ed005701355
term_af6d225790e4ac240456,Total area - ENP-East countries,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_22a3b075df5af0b8df83""]",run_cf189fe93ed005701355
term_fbd500e449746260ee0c,Total area - ENP-South countries,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_d6005fa436f44e47bd72""]",run_cf189fe93ed005701355
term_3789c75f8c4358b6b031,Total area by species (area in ha),measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_f459c1079f5885ce8ed4""]",run_cf189fe93ed005701355
term_43564be0a5eea5c24b69,Total economy deficit/surplus,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_df458dc427ad4e3de599""]",run_cf189fe93ed005701355
term_c4c3e8614d9033178466,Total economy deficit/surplus - ENP-South countries,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_00e351c81bade702dd76""]",run_cf189fe93ed005701355
term_2277dced936ebe7e514b,Total employment by age group,measure,0.88,local-hybrid,True,title evidence with measure lexical cue; local model skipped because gold labels are pending,"[""occ_4f63f421dafa92991486""]",run_cf189fe93ed005701355
term_aa68604b0a18d14e8f75,Total employment by age group - ENP-South countries,measure,0.88,local-hybrid,True,title evidence with measure lexical cue; local model skipped because gold labels are pending,"[""occ_300099d7b1705677f2e5""]",run_cf189fe93ed005701355
term_68e9ff319e647d5cff4a,"Total financial sector liabilities, consolidated",measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_aa62a3ad19f67952cb34""]",run_cf189fe93ed005701355
term_322c0749da8f58dc928c,"Total financial sector liabilities, non-consolidated",measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_78884b039291c05b752f""]",run_cf189fe93ed005701355
term_3795e399a8db59ba6bc2,"Total financial sector liabilities, non-consolidated - annual data",measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_8b7a556c8799dc16bfd7""]",run_cf189fe93ed005701355
term_e3b57109be8411b17a6a,total industry,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_70b3fac1e3eb84d8cd1a""]",run_cf189fe93ed005701355
term_bd25b0bcde8e89b7a0d1,total investments by currencies,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_a14178d958652ca2b4b1""]",run_cf189fe93ed005701355
term_95a3385c12a80619d83f,Total length of motorways,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_969c2dc9a1839e9be106""]",run_cf189fe93ed005701355
term_18a6f1bfdfa5de9fd163,Total length of railway lines,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_accf9c0ac0473dbf16da""]",run_cf189fe93ed005701355
